,fc1_neuron_0,fc1_neuron_1,fc1_neuron_2,fc1_neuron_3,fc1_neuron_4,fc1_neuron_5,fc1_neuron_6,fc1_neuron_7,fc1_neuron_8,fc1_neuron_9,fc1_neuron_10,fc1_neuron_11,fc1_neuron_12,fc1_neuron_13,fc1_neuron_14,fc1_neuron_15,fc1_neuron_16,fc1_neuron_17,fc1_neuron_18,fc1_neuron_19,fc1_neuron_20,fc1_neuron_21,fc1_neuron_22,fc1_neuron_23,fc1_neuron_24,fc1_neuron_25,fc1_neuron_26,fc1_neuron_27,fc1_neuron_28,fc1_neuron_29,fc1_neuron_30,fc1_neuron_31,fc1_neuron_32,fc1_neuron_33,fc1_neuron_34,fc1_neuron_35,fc1_neuron_36,fc1_neuron_37,fc1_neuron_38,fc1_neuron_39
fc1_neuron_10,0.0068805860278845984,0.02659747718778066,0.05270077204903525,-0.01828099406235312,-0.05199278852513827,0.043306598775650774,-0.03104174931302748,0.04303342423939176,-0.0062332077027063585,-0.22477734284642562,1.0,-0.2716704898860654,0.014000460686012559,-0.03520722700881387,0.0286884953683388,-0.008527046861736203,-0.010816366668418542,0.024009070625775123,-0.054452943725536905,-0.026682662138184494,,,,,,,,,,,,,,,,,,,,
fc1_neuron_11,-0.04687005027598765,-0.014303928015659096,0.006224975112176153,0.020095044078896493,0.017030826400454616,-0.02325516895848214,0.07247331891094042,-0.03509245616335154,0.00823056242457663,0.10800737605397626,-0.2716704898860654,1.0,-0.21437689105327787,-0.018615898621707806,0.005059698202692708,-0.020519113941505365,-0.03747522803358015,-0.08194684004899781,0.06691013923677018,0.009484571787875143,,,,,,,,,,,,,,,,,,,,
fc1_neuron_12,-0.009866454657189994,0.03175574127290084,-0.0015458929423717558,-0.009183363262147835,-0.03501708111366876,-0.014878147845654848,-0.025353919466771214,-0.009913131137252977,0.007525282387565314,-0.028188916589328167,0.014000460686012559,-0.21437689105327787,1.0,-0.1746482975146612,-0.014720226157936478,-0.025702331926228162,0.015190355486628747,0.018762497745571975,0.01552152371807929,-0.0307494990830161,,,,,,,,,,,,,,,,,,,,
fc1_neuron_13,-0.014342529451805572,0.0005236174225478251,-0.007061459031317674,-0.014243640415430045,0.027101678888165906,-0.012746414305353752,-0.025200242725833592,0.01401529460628148,0.021769251226149804,0.011688118135639896,-0.03520722700881387,-0.018615898621707806,-0.1746482975146612,1.0,-0.20223830009498137,-0.02212008846474606,0.04552980437138879,0.01167590248158745,0.006961093707217265,0.0011626892428282605,,,,,,,,,,,,,,,,,,,,
fc1_neuron_14,-0.04288165285750713,-0.032938712936133666,0.0708625190393705,-0.03757697006856891,0.05671514453425043,-0.0025340347887215214,0.04703670159881775,0.022773201870264787,0.07438283460473594,-0.06772112903344917,0.0286884953683388,0.005059698202692708,-0.014720226157936478,-0.20223830009498137,1.0,-0.131628282978262,-0.006963217239240432,-0.03319833493544101,0.0207261137450019,0.02495781573531215,,,,,,,,,,,,,,,,,,,,
fc1_neuron_15,0.05652586547606805,-0.006505260470335394,-0.02863737777063048,-0.03220534262396541,-0.011245599577708989,0.008768187941610958,0.020932617231171718,-0.015525262105652013,0.00046180240125836007,-0.017944152546047823,-0.008527046861736203,-0.020519113941505365,-0.025702331926228162,-0.02212008846474606,-0.131628282978262,1.0,-0.1264033950935402,-0.04113562867392487,-0.017288107181654126,0.05168056245740849,,,,,,,,,,,,,,,,,,,,
fc1_neuron_16,0.014149636492290976,-0.007011800738275795,-0.0462282133967139,-0.03796461402976147,0.01362595519048579,0.013154042806641765,-0.035546673104325854,0.04366428420926326,-0.003716195903469849,0.04578489264775677,-0.010816366668418542,-0.03747522803358015,0.015190355486628747,0.04552980437138879,-0.006963217239240432,-0.1264033950935402,1.0,-0.23600057335829341,-0.046105305241697266,0.05211102237600264,,,,,,,,,,,,,,,,,,,,
fc1_neuron_17,0.028579601237014023,0.01950499650181255,0.014920923732910799,0.07100953532227278,-0.028962989191293476,0.09134091351367236,-0.019121029250958304,-0.03173053434157372,-0.0052361949411408246,0.013124612503300805,0.024009070625775123,-0.08194684004899781,0.018762497745571975,0.01167590248158745,-0.03319833493544101,-0.04113562867392487,-0.23600057335829341,1.0,-0.20183264398745546,-0.015542854901901429,,,,,,,,,,,,,,,,,,,,
fc1_neuron_18,-0.008421819045143974,-0.10295905467516228,-0.013147908694996966,0.0232288740922546,0.07996959998025002,-0.022083537613388483,-0.01938265443893243,-0.009059505662557003,-0.020508967579475828,0.013584819218455627,-0.054452943725536905,0.06691013923677018,0.01552152371807929,0.006961093707217265,0.0207261137450019,-0.017288107181654126,-0.046105305241697266,-0.20183264398745546,1.0,-0.16649042063316558,,,,,,,,,,,,,,,,,,,,
fc1_neuron_19,-0.018987087461830685,0.0037600804509465213,0.04207002767136344,0.021710095319275105,-0.0010989258448658307,0.03529781641632466,-0.10589755046770657,-0.0036323813581758293,-0.007883216038497029,-0.03762253688134698,-0.026682662138184494,0.009484571787875143,-0.0307494990830161,0.0011626892428282605,0.02495781573531215,0.05168056245740849,0.05211102237600264,-0.015542854901901429,-0.16649042063316558,1.0,,,,,,,,,,,,,,,,,,,,
