param,pearson_accuracy,pearson_epoch,spearman_accuracy
weight 1441,0.011404394374698134,0.002944037897666622,0.0047349943974653395
weight 1442,0.05234648830784966,-0.0009244010511322029,0.038453212580303764
weight 1443,0.056803311680762233,9.2363695485037e-05,0.04373008055129351
weight 1444,0.05918165500611941,-0.0006999859211968846,0.04524312908325252
weight 1445,0.0511837359494894,0.0006803279566226263,0.03680176961429563
weight 1446,0.00046414250337495464,-0.0001019844660522484,0.007688313779243579
weight 1447,-0.01820943758333253,0.003214741440073926,-0.008347437458936584
weight 1448,-0.008750302167740158,-0.00024049133612270184,0.006341929832952257
weight 1449,0.019461922966663527,-1.8388341674789197e-05,0.01679728794306355
weight 1450,0.029660545727440837,0.0010774344619099458,0.029112266648370938
weight 1451,0.0487216361889888,0.0016329451056205303,0.03128201346042955
weight 1452,0.04766017263323199,0.002000723412977921,0.040536090956470074
weight 1453,0.055953748432814254,0.002997986016445376,0.04386818802849901
weight 1454,0.04597729303052629,0.0003398099764366836,0.028409910293958188
weight 1455,0.01631066532535436,-0.0005475518313479372,0.015864208098126994
weight 1456,0.017704950960551975,-0.0013986975630587302,0.011185563319460261
weight 1457,-0.003192469238261936,0.001962181143370625,0.0066685842387332415
weight 1458,0.01046880778461787,0.0025991788245467813,0.013132756292025458
weight 1459,0.009668818753528432,0.0009872366427669656,0.018644035951030157
weight 1460,0.028880900973460875,0.0015301367547292766,0.025080046338118455
weight 1461,0.023644898288219186,0.0026330365406294987,0.019683579391385545
weight 1462,0.033034390844376586,0.0010827872375882971,0.027010288524721895
weight 1463,0.017661230481043864,0.0010228341956971447,0.02176494667626861
weight 1464,0.059106400082028006,0.0030137615469029836,0.0428459324979745
weight 1465,0.06374218045243349,-0.00044523159257885765,0.054290515858742575
weight 1466,0.01871397498932923,-0.00056886109624474,0.026778437888961042
weight 1467,0.030225433223956207,0.0016699794799243293,0.028123324833977954
weight 1468,0.02142612235818464,-0.00035236902247911357,0.026603527990892984
weight 1469,0.009867971242844649,0.002528853061158637,0.021037925523909567
weight 1470,0.037255426686820414,-0.0012823813616367299,0.028780675765785003
weight 1471,0.007526441728961704,-0.00046058251534263734,0.006192293452376835
weight 1472,0.05382472829346009,-0.002007456671069096,0.0367303838552248
weight 1473,0.029663459478207567,0.00022518941207843495,0.025142400361278454
weight 1474,0.035205067253188616,-0.001772678979323628,0.01669179027504673
weight 1475,0.021133853204635185,-0.0013573049209771363,0.022141964690932228
weight 1476,0.017799459541748996,0.0027481364866899487,0.0087233383359742
weight 1477,0.030031677797444752,-0.0005553217873296518,0.021784233451805468
weight 1478,0.04410409186324524,-0.0006822201063305809,0.03164094288724903
weight 1479,0.017380674710813525,0.0003834919382795678,0.02449250429852516
weight 1480,0.01562237494013008,0.0024476854641039113,0.02215718528810995
weight 1481,0.0030120858282729193,0.0020662372073515416,0.00813395586280777
weight 1482,0.020545050395698167,0.002190493414648016,0.01864622710474316
weight 1483,-0.010184605647318788,0.001105044176401124,0.006525909794562142
weight 1484,0.00028192320483811316,0.002307531206503002,-0.0041411642377511566
weight 1485,0.014454679638334942,0.001466175200679877,0.018513504160674155
weight 1486,0.0032039626173347795,0.00044365345277448665,0.0018257748237477188
weight 1487,-0.019628896312179473,0.0025918175562358583,-0.006953292199329772
weight 1488,0.0347923117704187,0.002840848844422999,0.027793649096444772
weight 1489,0.01336474765283589,0.002353236585029489,0.0016350856467262412
weight 1490,0.04998883124852153,0.0011907880506478096,0.03252145172618244
weight 1491,0.03342638683697152,0.0016535377567371621,0.023325322282108506
weight 1492,0.0072606276064044245,0.0013151828823175565,0.017115176545674928
weight 1493,0.015210403700999122,0.0030010978341794585,0.01715238425449525
weight 1494,0.03498586376652092,-0.00012336211138605589,0.02346610806014311
weight 1495,0.022976863431710962,-0.0011161293063661347,0.024393834330768412
weight 1496,0.023506553197926966,0.0013929450126939583,0.02009942689449688
weight 1497,0.03548351203999557,0.0021527407322109214,0.030974336765996056
weight 1498,0.03199037960632188,0.00018788808798615307,0.028235729754455
weight 1499,0.022550209438908737,-0.0005129560360334399,0.02199934652976916
weight 1500,0.028064745157113644,0.0007226873059815707,0.020198824380323208
weight 1501,0.03684338090623167,0.0024807019267674493,0.040261046256937945
weight 1502,0.041507646996861665,0.0005617493639992569,0.03397676264802255
weight 1503,0.031586784803726786,0.000797362201631854,0.023007140772672224
weight 1504,0.029670032902201025,0.0020549800696559916,0.021292169885532505
weight 1505,0.01732512482468561,0.0008420981846945228,0.015037449700600291
weight 1506,0.05082612417971302,-0.00047333462987143534,0.03977674164977068
weight 1507,0.03532238069762229,0.0009446699772521215,0.03659098945160281
weight 1508,0.013079862792589117,-0.0007784941602801612,0.019309786329785427
weight 1509,0.01295587073193515,0.0005358010069856906,0.016287063843433088
weight 1514,0.02754734416932507,-0.0006836304038290308,0.013681840454912112
weight 1515,0.002240826716401063,0.0010856354750111998,0.00486740861318092
weight 1516,-0.004939454839996412,-0.002508542611792946,0.00017218859633682146
weight 1517,0.0037433464332702737,0.00020156286693288715,0.013072498365961601
weight 1518,-0.01823092598828579,9.431743134397075e-07,-0.008653359409847667
weight 1519,-0.0010993235090691188,-0.0016694831195223333,0.006506614549939967
weight 1520,-0.0028502172004902238,-0.002200058970199769,-0.002078927519344349
weight 1521,0.018725633497568166,0.002078509332121037,0.011584192517591924
weight 1522,-0.013625779671246402,-0.0011201101586403668,-0.0018145512917887
weight 1523,0.009998566411457147,0.0015954154447495044,0.011027529035438544
weight 1524,0.008095627714558032,-0.0009215337507142729,0.004238213466749492
weight 1525,0.026759032766443314,-0.0022818915021233723,0.02421149444857357
weight 1526,0.004631433308339789,0.0031402743698452683,0.0026686847645710663
weight 1527,-0.004847460041048993,0.0013627424594428242,0.006537576795320096
weight 1528,0.027297171927245463,-0.000229449186671925,0.027469062518894864
weight 1529,-0.007656095652633232,-0.001309091970355209,-0.005443655810607158
weight 1530,0.0004728036873236298,-0.002409441972748804,0.001434120091480567
weight 1531,0.004995440801904479,-0.0017277610241039337,0.003444018574097521
weight 1532,0.0016245950061081755,-0.0025408921198653723,0.009009970714967255
weight 1533,0.012101321429294846,0.00019215170395733133,0.012772383919927606
weight 1534,-0.0025487948113678376,0.0030034097874027856,0.0005506195197795459
weight 1535,-0.013444720550970549,0.0029236967879991897,-0.005734366297982698
weight 1536,-0.01908218481726095,-9.39232870402582e-05,-0.011912592740722757
weight 1537,0.006070180672360497,-0.002357171741378784,0.005026155674393791
weight 1538,0.0024102957270257753,-0.000575141976359245,0.001677132707740882
weight 1539,0.007654708479768083,-0.000964772282380601,0.002802164714135053
weight 1540,0.028567177249179437,-0.0029080816265256134,0.02492379951678215
weight 1541,-0.010932764135573784,-0.003045766545515284,-0.011546652967436873
weight 1542,0.02239236705955921,-0.003378451704032376,0.017706954652884764
weight 1543,0.005820689815493937,-0.0022153621144035246,0.005128331341288213
weight 1544,0.010136774843781136,-0.002421916823547813,0.008860014253395818
weight 1545,0.002024130019609535,0.0017002406966183008,0.003432682849470938
weight 1546,0.022603281680533965,0.0019151607694746185,0.024127211056561584
weight 1547,-0.019408619071041404,0.0018233304428563924,-0.008438770522840902
weight 1548,-0.0025021143025211667,0.0018342746644133224,0.0022360487526372477
weight 1549,-0.003338166542344273,-0.0032685918286605355,-0.0018326334887252779
weight 1550,-0.001453307470760341,-0.0034300699325588947,-0.007746346474000628
weight 1551,-0.015170496346226397,-0.0013289855206409444,-0.007153075072631364
weight 1552,0.0001229816239735089,0.000593413678388733,0.007367496832039001
weight 1553,-0.020736102009100466,-0.0015604958136255296,-0.014000806469531306
weight 1554,0.0008148050740139179,-0.001956752214707534,-0.0024640860054925395
weight 1555,0.012346175319690539,-0.0030986282260700164,0.014283942580068675
weight 1556,-0.003996410471460545,-0.0015367738371939092,0.0034962135328032904
weight 1557,-0.03348045608495696,-0.0027733953672516437,-0.022393561045546108
weight 1558,-0.025252072149370874,-0.0011449070549758838,-0.01224424607327465
weight 1559,-0.011636672061259498,-0.0013810008752018436,0.002830050123246095
weight 1560,0.018103410666215434,0.00014212053631706913,0.022726349456140327
weight 1561,0.0006060647265690334,-0.00026533348856691314,0.005661963765402487
weight 1562,0.0016992881082794368,-0.001068604696551034,-0.005539053343162167
weight 1563,0.028014020651826357,-0.0012511973731532573,0.014645751843556992
weight 1564,0.013739418781970648,-0.0027616537655995805,0.001637180147536607
weight 1565,0.005719848491565715,0.0037721951815421996,0.006544720998883519
weight 1566,0.021942194174763292,2.656460343810165e-05,0.02103279339283846
weight 1567,-0.017791981220547544,6.256930123354462e-05,-0.015221637902507227
weight 1568,0.027950700827238,0.0002718496601771805,0.023194082631522703
weight 1569,-0.009105215462061559,0.0012307350194583873,0.003011433211337922
weight 1570,0.0005369041119306944,-0.0005338162068474851,-0.0005939398917067965
weight 1571,0.029035696078933318,0.0019470867110955895,0.02561593992970707
weight 1572,0.028926560212795518,0.0014953895711299465,0.023933249848432456
weight 1573,0.0055728715461833694,-0.0003540962604212731,0.0003100306097116497
weight 1574,0.026213980612625268,-0.00046801465871308413,0.02533695517023931
weight 1575,-0.00828005815254387,-0.0013992613768298477,-0.004829584153240941
weight 1576,-0.022409049874105674,-0.0031981749838859742,-0.025988323904859653
weight 1577,0.02208545682183701,-0.000572493524524311,0.008694423173967673
weight 1578,0.012398357187722288,0.002006152286946835,0.015133816859389776
weight 1579,0.02008605196449744,0.000381403385278225,0.023216803021716543
weight 1580,0.01600880642353206,-0.002327888913951043,0.007502161396215427
weight 1581,0.023753379203945275,0.00013435921251472188,0.020673370511807662
weight 1582,0.021458007791840344,-0.004566736389201646,0.01517091600007329
weight 1583,0.014624234383860103,0.0011343536697072285,0.017430923282311616
weight 1584,0.01974695875246819,-0.0012123056747457422,0.023178962178246637
weight 1585,-0.007387397470869354,-0.001264934929481154,-0.008786200767703367
weight 1586,-0.002375149966982506,0.00038588742769315174,0.013934812487021908
weight 1587,-0.006623754724880792,0.000247055313092961,0.0013898049953999638
weight 1588,-0.004572545611019003,0.0007195249204654088,0.006301031588931552
weight 1589,-0.009052067688635966,0.0010406228320176444,-0.0015820863432095035
weight 1590,0.021939200380806455,0.002160030344991273,0.014218439824371355
weight 1591,0.010880139212369168,0.0016827908539326572,0.014215553144767228
weight 1592,-0.001991696005802299,-0.0006904359495786413,0.009386599597711504
weight 1593,0.016351700527105502,0.0014503155462256597,0.012803997059938416
weight 1594,0.02459506040677968,0.0017036379896213497,0.018414132002763917
weight 1595,0.010084551898141017,-0.00023606372463067394,0.024721606766991425
weight 1596,0.023289152518785123,-0.0013756170643485475,0.01799490951147023
weight 1597,0.014409724374562081,-0.0008028486085739097,0.013680891323089335
weight 1598,-0.006567419938584241,-0.0042616321444010705,0.007803482751456688
weight 1599,0.008850763825070504,-0.005255693241037617,0.01164199774841746
weight 1600,0.009285333859618244,0.0003794927012492923,0.015485468208011279
weight 1601,0.03926716663899256,4.5255719676444265e-05,0.018821362261683607
weight 1602,0.004656276696089627,-0.000432836192836035,-0.0018584830158923234
weight 1603,-0.002917969662986748,0.0003110823273870069,-0.0038804850170959812
weight 1604,0.018473056593239636,-0.0016548912938370046,0.011432439238233633
