Experiment,Loss_Type,Epoch,Layer,PD_vs_GT_MSE,PD_vs_GT_MAE,PD_vs_GT_Wasserstein,PD_vs_GT_Cosine_Sim,FN_vs_GT_MSE,FN_vs_GT_MAE,FN_vs_GT_Wasserstein,FN_vs_GT_Cosine_Sim
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch0,sinkhorn 2025-10-06 16:31:26.516927 6 ,0,Layer_1,0.11056741409001153,0.2685836177736246,0.19832780831771196,0.015691297033780815,0.16888904550527267,0.32740816997812483,0.05055953667356573,0.02616808184243392
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch0,sinkhorn 2025-10-06 16:31:26.516927 6 ,0,Layer_2,0.026039281422822812,0.1261561575629074,0.07079911596272677,0.011477856808986511,0.07194215055080434,0.20646845283144336,0.05256404632162954,0.005697405621938152
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch0,sinkhorn 2025-10-06 16:31:26.516927 6 ,0,Layer_3,0.10248027592738566,0.2603752663284947,0.1920560728121631,0.10237226497509289,0.16482120913775206,0.3255914741351255,0.05939781594779174,0.04839506539691185
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch0,sinkhorn 2025-10-06 16:31:26.516927 6 ,0,Layer_4,0.08507126224459506,0.23033582884597836,0.16833324788420573,0.021020736055215365,0.09748739529535337,0.24657161478009354,0.11875344093306218,0.008476355379532802
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch0,sinkhorn 2025-10-06 16:31:26.516927 6 ,0,Layer_5,0.13542421814985192,0.30186535461629305,0.23313435969574675,0.04631184515362663,0.14674860346390597,0.3122798684821079,0.18964249568478367,0.04772589055800848
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch4,sinkhorn 2025-10-06 16:31:26.516927 6 ,4,Layer_1,0.11047781498917227,0.26852335082669593,0.19763264127291746,0.016973733610913005,0.1663394074395,0.32384659175933955,0.05784316548980526,0.024697796177136192
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch4,sinkhorn 2025-10-06 16:31:26.516927 6 ,4,Layer_2,0.026278363737688992,0.12683984620777694,0.06874567820089221,0.008751125199444152,0.07210222350494444,0.20945559582650353,0.055784048907571805,0.0016788076251188868
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch4,sinkhorn 2025-10-06 16:31:26.516927 6 ,4,Layer_3,0.10262016488563587,0.2603523240946457,0.19414008765672636,0.10038919710497836,0.16176228937547465,0.3221316754294809,0.06178315251468091,0.0576038950527879
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch4,sinkhorn 2025-10-06 16:31:26.516927 6 ,4,Layer_4,0.0854960356183212,0.23085598921989778,0.16524946630371007,0.018938462350961985,0.09760697433440402,0.24684727138572782,0.11922057015347977,0.008187799505313155
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch4,sinkhorn 2025-10-06 16:31:26.516927 6 ,4,Layer_5,0.1360047651172471,0.30254566214831113,0.2300176662792645,0.04249799879258866,0.14717256642717363,0.3128442652183561,0.1886300625881589,0.04983274368992988
