Experiment,Loss_Type,Epoch,Scenario,PD_vs_FN_MSE,PD_vs_FN_MAE,PD_vs_FN_MAPE,PD_vs_FN_Wasserstein,PD_vs_FN_JS_Divergence,PD_vs_FN_KL_Divergence,PD_vs_FN_Cosine_Sim,PD_vs_FN_Pearson_Corr,PD_vs_FN_AUTO_Loss
sinkhorn 2025-10-22 10:25:31.722454 800_epoch299,sinkhorn 2025-10-22 10:25:31.722454 800,299,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.0453241222916561,0.1653779903827425,3784.4788982028203,0.09346102247323335,0.14432081712438197,0.7152080182222921,-0.07248967637350122,-0.07555721431718736,0.10086733223857006
sinkhorn 2025-10-22 10:25:31.722454 800_epoch349,sinkhorn 2025-10-22 10:25:31.722454 800,349,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.0432500156893262,0.16176730819519636,1017.2712201871448,0.08937254671796484,0.14965221617000962,0.7704115461450767,-0.07324863833266208,-0.07694376238938454,0.09866992969488332
sinkhorn 2025-10-22 10:25:31.722454 800_epoch399,sinkhorn 2025-10-22 10:25:31.722454 800,399,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.04381870935575719,0.16362518655901537,1469.2471635225315,0.09380191411135638,0.1475365797132765,0.7375190975684789,-0.07688179370024165,-0.07974767184076652,0.1001290805036064
sinkhorn 2025-10-22 10:25:31.722454 800_epoch449,sinkhorn 2025-10-22 10:25:31.722454 800,449,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.043110768519019675,0.16064428318300528,2012.0636815080466,0.09240203843985229,0.14975010084197599,0.7504647151441478,-0.05493789817970015,-0.06012387347728352,0.09889301013467752
sinkhorn 2025-10-22 10:25:31.722454 800_epoch499,sinkhorn 2025-10-22 10:25:31.722454 800,499,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.04655358726847569,0.1661537700441171,2116.8210825446763,0.09725872303651205,0.15219304343019385,0.7629363396263524,-0.07295687456329486,-0.07166717212454393,0.10313861487094719
sinkhorn 2025-10-22 10:25:31.722454 800_epoch549,sinkhorn 2025-10-22 10:25:31.722454 800,549,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.04841293548364535,0.16819562929945917,1903.5491474653256,0.0993715828394469,0.1552952236446572,0.783973248150773,-0.07374276035894724,-0.07272818226982608,0.10522770191565099
sinkhorn 2025-10-22 10:25:31.722454 800_epoch599,sinkhorn 2025-10-22 10:25:31.722454 800,599,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.048140586060787104,0.1666915357760144,1206.9049002767636,0.10085489969763378,0.15323658895901904,0.7657511374694009,-0.06447066415260562,-0.06285327054822773,0.10475833399254783
sinkhorn 2025-10-22 10:25:31.722454 800_epoch649,sinkhorn 2025-10-22 10:25:31.722454 800,649,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.041233076272928486,0.15585229158882535,1478.477365158483,0.0929244982728106,0.15051251602482535,0.7679265811758702,-0.025620360191373082,-0.029705363801519547,0.09688506924286365
sinkhorn 2025-10-22 10:25:31.722454 800_epoch699,sinkhorn 2025-10-22 10:25:31.722454 800,699,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.04280571642329004,0.15718806209078898,5423.90010795324,0.09793462340440481,0.14990278403800159,0.7238400061279628,-0.016750182279611628,-0.018201981619834284,0.09885590828123383
sinkhorn 2025-10-22 10:25:31.722454 800_epoch749,sinkhorn 2025-10-22 10:25:31.722454 800,749,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.04084418934527585,0.15144037232541926,1361.626841994119,0.09661408458853771,0.15635331170029831,0.7905995932242152,0.01377477466910523,0.010735275172622582,0.0967279355234735
sinkhorn 2025-11-03 16:02:07.335521 750_epoch49,sinkhorn 2025-11-03 16:02:07.335521 750,49,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.020326396424301642,0.10630956806679766,2745.737070043075,0.08825806178530325,0.1515756155921244,0.7280608539231578,0.3546131765447748,0.3507270175842244,0.07283260290603305
sinkhorn 2025-11-03 16:02:07.335521 750_epoch99,sinkhorn 2025-11-03 16:02:07.335521 750,99,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.12557068438111493,0.28112445975478967,796.9240043898551,0.020756527132091078,0.13719377355188578,0.6797745170490445,-0.23659319422273647,-0.23782947657328232,0.15243629446048967
sinkhorn 2025-11-03 16:02:07.335521 750_epoch149,sinkhorn 2025-11-03 16:02:07.335521 750,149,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.025166306788577068,0.11448734720603101,2155.6832432162914,0.08555204476885651,0.15600132276717363,0.7595737892472882,0.30109681175507275,0.2984110850619821,0.07712326810772879
sinkhorn 2025-11-03 16:02:07.335521 750_epoch199,sinkhorn 2025-11-03 16:02:07.335521 750,199,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.02385425633697726,0.11304247162711188,4515.353820478467,0.09740257868934432,0.15831437092792436,0.7590523409396819,0.2807595758902842,0.2871122117172726,0.07876639685358577
sinkhorn 2025-11-03 16:02:07.335521 750_epoch249,sinkhorn 2025-11-03 16:02:07.335521 750,249,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.018119219963666812,0.09408510336746803,1056.228655126444,0.044845212822882494,0.07621306806057283,0.3436517501408945,0.6477827481909157,0.6469303325502013,0.052063568366340914
sinkhorn 2025-11-03 16:02:07.335521 750_epoch299,sinkhorn 2025-11-03 16:02:07.335521 750,299,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06290459040554522,0.18933399980161122,1229.560490314233,0.03873562424966765,0.18806021347232668,0.9307235303810859,0.012894662293981774,0.010942735700725773,0.10851518229986766
sinkhorn 2025-11-03 16:02:07.335521 750_epoch349,sinkhorn 2025-11-03 16:02:07.335521 750,349,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.05805415332940042,0.1806918117862848,1092.6981104858746,0.04148472690359219,0.18932695143085157,0.9514076275807688,0.11475649563125116,0.11266480396721312,0.1046588453914492
