Experiment,Loss_Type,Epoch,Scenario,PD_vs_GT_MSE,PD_vs_GT_MAE,PD_vs_GT_MAPE,PD_vs_GT_Wasserstein,PD_vs_GT_JS_Divergence,PD_vs_GT_KL_Divergence,PD_vs_GT_Cosine_Sim,PD_vs_GT_Pearson_Corr,PD_vs_GT_AUTO_Loss,FN_vs_GT_MSE,FN_vs_GT_MAE,FN_vs_GT_MAPE,FN_vs_GT_Wasserstein,FN_vs_GT_JS_Divergence,FN_vs_GT_KL_Divergence,FN_vs_GT_Cosine_Sim,FN_vs_GT_Pearson_Corr,FN_vs_GT_AUTO_Loss
sinkhorn 2025-10-13 10:08:20.655648 800 _epoch49,sinkhorn 2025-10-13 10:08:20.655648 800 ,49,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06384631366750255,0.1908347930612873,1357.9156521470463,0.125456822642733,0.13657196615799688,0.6783553880366348,0.02503719613652431,0.022892750207167818,0.1215375245297335,0.09862814080497453,0.2451899278285644,702.2876036898375,0.033791692304175135,0.17034317745347377,0.8652365602826546,0.013578126895027055,0.012841307059730063,0.13680089087674155
sinkhorn 2025-10-20 18:19:57.166467 800 _epoch49,sinkhorn 2025-10-20 18:19:57.166467 800 ,49,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06202764325682902,0.1873670105810809,1330.2933868228995,0.13826874814137158,0.13448095972092125,0.6683991688485651,0.030562462724524623,0.02760082136646652,0.12212300607742231,0.09491277760345092,0.240714972191556,773.7307893646217,0.04007512688940437,0.17338658248149774,0.8784225733706614,0.01331777979879507,0.012523478175727491,0.13553328632487782
sinkhorn 2025-10-22 10:25:31.722454 800_epoch49,sinkhorn 2025-10-22 10:25:31.722454 800,49,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06414130016842938,0.19135015787760895,1331.4765440742894,0.12404072309101292,0.13755163335990336,0.6823504985811742,0.02444290719479874,0.022795849950085392,0.12162487538484736,0.09144501665169198,0.2360838579103269,1003.5885597098604,0.04360729083584453,0.16388441113340324,0.8297378957868169,0.013874271149334682,0.012413147044175983,0.13251306331428409
sinkhorn 2025-10-22 10:25:31.722454 800_epoch99,sinkhorn 2025-10-22 10:25:31.722454 800,99,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06384620261239624,0.19078716309180688,9291.78932928459,0.12564056263507384,0.13650130495857615,0.67772759698081,0.024600211680663932,0.022411418413139438,0.12155287299537294,0.1007329294465615,0.24884516488299074,716.6161684211696,0.028102947043289472,0.17111165791865424,0.8703871504563753,0.010513136565631463,0.011288482860655265,0.13767847644404513
sinkhorn 2025-10-22 10:25:31.722454 800_epoch149,sinkhorn 2025-10-22 10:25:31.722454 800,149,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.063905048461576,0.19092431075873761,1412.4600905235961,0.1250795363593698,0.13570051804651379,0.6750073021770502,0.024653120387666233,0.0226944858890236,0.12142527168877704,0.09844232479947734,0.24581748928805783,1058.3369367291607,0.03100697319624491,0.16909790971947591,0.8589997160373667,0.010370384854060041,0.01082268962592651,0.13623336231740488
sinkhorn 2025-10-22 10:25:31.722454 800_epoch199,sinkhorn 2025-10-22 10:25:31.722454 800,199,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06392454521684027,0.19092129856390405,2619.5864169543993,0.12497896936027378,0.1364910313169282,0.6778927731962314,0.02480105674537697,0.022679922063555322,0.1214911046596549,0.09746458248907215,0.24379050144972406,15425.94662908911,0.03410827166134984,0.16733924614537335,0.851349505260281,0.01330966718225566,0.012753442710845605,0.13567856237735337
sinkhorn 2025-10-22 10:25:31.722454 800_epoch249,sinkhorn 2025-10-22 10:25:31.722454 800,249,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06378436540596849,0.19069166301999338,1587.9518329475682,0.1260321513638654,0.13633025977272373,0.6788214980598903,0.02505156278825576,0.022940986688363158,0.12156070131843086,0.09413836214843474,0.24032763558565193,693.2683846093033,0.03874007423137027,0.16904547225336114,0.8521387009300361,0.015596465726604098,0.014149194444907195,0.13440619760667963
sinkhorn 2025-10-22 10:25:31.722454 800_epoch299,sinkhorn 2025-10-22 10:25:31.722454 800,299,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06365535953322952,0.19046017546737562,21545.95086606955,0.12662259679059087,0.13660946365453,0.6784222766038136,0.025501129865250046,0.02335901311595042,0.12158566217707567,0.09686730103086673,0.24348236364440598,811.0150283492652,0.0353288869068893,0.1677900503374145,0.8525252727195064,0.013598806564373657,0.01287900103739667,0.1356364119207878
sinkhorn 2025-10-22 10:25:31.722454 800_epoch349,sinkhorn 2025-10-22 10:25:31.722454 800,349,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06361899056748095,0.19036629458834153,1284.0981088048381,0.1271989214649831,0.13627177918312258,0.6778150750925587,0.025168009066686682,0.02304037958938407,0.12162444681480372,0.09487482493529927,0.2407124964141742,1772.1509419466333,0.038548612363243286,0.1696210431770698,0.8586948633958627,0.014098181622381878,0.013211359068567415,0.1348355056887276
sinkhorn 2025-10-22 10:25:31.722454 800_epoch399,sinkhorn 2025-10-22 10:25:31.722454 800,399,"overlapping 0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9] 11 gelu",0.06339346173345298,0.18999458348070272,1463.1890892203444,0.12827125022777686,0.1365407903760622,0.6778162704427234,0.026565397320344557,0.024370788025502722,0.1216640888207536,0.09558611943469904,0.2425648354361784,685.7704682779067,0.03477212961475053,0.16780665591023164,0.8471754500182085,0.013770402711673445,0.013130196810260092,0.13473898991870642
