Experiment,Loss_Type,Epoch,Layer,PD_vs_FN_MSE,PD_vs_FN_MAE,PD_vs_FN_Wasserstein,PD_vs_FN_Cosine_Sim
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch0,sinkhorn 2025-10-06 16:31:26.516927 6 ,0,Layer_5,0.024780867219459136,0.12348577856036187,0.046455337731846326,0.12889113004315123
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch4,sinkhorn 2025-10-06 16:31:26.516927 6 ,4,Layer_1,0.07907589974127834,0.22486747605060742,0.1456351184794315,-0.16114858114206418
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch4,sinkhorn 2025-10-06 16:31:26.516927 6 ,4,Layer_2,0.05623961532581761,0.1836171934278887,0.1231741485365008,-0.12269041050116937
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch4,sinkhorn 2025-10-06 16:31:26.516927 6 ,4,Layer_3,0.06739008823537573,0.21130255054870886,0.14098817365646496,0.24374151462148655
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch4,sinkhorn 2025-10-06 16:31:26.516927 6 ,4,Layer_4,0.02404677298027955,0.12496615431396954,0.04603697881343163,-0.042504801386492506
sinkhorn 2025-10-06 16:31:26.516927 6 _epoch4,sinkhorn 2025-10-06 16:31:26.516927 6 ,4,Layer_5,0.026332046639100888,0.13094230515026908,0.047167002992039235,0.10768911670581054
sinkhorn 2025-10-13 10:08:20.655648 800 _epoch49,sinkhorn 2025-10-13 10:08:20.655648 800 ,49,Layer_1,0.08275236768545052,0.23245445238104462,0.15369444778669683,-0.15505342385586676
sinkhorn 2025-10-13 10:08:20.655648 800 _epoch49,sinkhorn 2025-10-13 10:08:20.655648 800 ,49,Layer_2,0.05965525618792962,0.19163816893031363,0.12779137351248654,-0.14987709958537979
sinkhorn 2025-10-13 10:08:20.655648 800 _epoch49,sinkhorn 2025-10-13 10:08:20.655648 800 ,49,Layer_3,0.06557309229789329,0.20666749574262516,0.14156498596018008,0.2430723966282228
sinkhorn 2025-10-13 10:08:20.655648 800 _epoch49,sinkhorn 2025-10-13 10:08:20.655648 800 ,49,Layer_4,0.022453077068131665,0.12055659147008845,0.03670904983732242,-0.0706071113681412
sinkhorn 2025-10-13 10:08:20.655648 800 _epoch49,sinkhorn 2025-10-13 10:08:20.655648 800 ,49,Layer_5,0.02374514389279776,0.12446290377637206,0.04235736767441902,0.113654049206568
sinkhorn 2025-10-20 18:19:57.166467 800 _epoch49,sinkhorn 2025-10-20 18:19:57.166467 800 ,49,Layer_1,0.07023778409291895,0.21435476477054438,0.15994410798219408,-0.05954185027822644
sinkhorn 2025-10-20 18:19:57.166467 800 _epoch49,sinkhorn 2025-10-20 18:19:57.166467 800 ,49,Layer_2,0.05002290796522848,0.17554956644815672,0.13270667586834098,-0.06730898048335354
sinkhorn 2025-10-20 18:19:57.166467 800 _epoch49,sinkhorn 2025-10-20 18:19:57.166467 800 ,49,Layer_3,0.06718918202130368,0.20494844260912434,0.15490482582392148,0.33885973684867066
sinkhorn 2025-10-20 18:19:57.166467 800 _epoch49,sinkhorn 2025-10-20 18:19:57.166467 800 ,49,Layer_4,0.016523937618696482,0.10193751464244481,0.03959172180667412,0.007750282907373989
sinkhorn 2025-10-20 18:19:57.166467 800 _epoch49,sinkhorn 2025-10-20 18:19:57.166467 800 ,49,Layer_5,0.016425587804840987,0.10205482088305438,0.035181382546639384,0.2160745891547962
sinkhorn 2025-10-22 10:25:31.722454 800_epoch49,sinkhorn 2025-10-22 10:25:31.722454 800,49,Layer_1,0.07082453324493795,0.2237866086332227,0.14576697039810385,-0.14868164324415162
sinkhorn 2025-10-22 10:25:31.722454 800_epoch49,sinkhorn 2025-10-22 10:25:31.722454 800,49,Layer_2,0.0474962266039312,0.17285050917222505,0.10907355734599379,-0.11070232252916608
sinkhorn 2025-10-22 10:25:31.722454 800_epoch49,sinkhorn 2025-10-22 10:25:31.722454 800,49,Layer_3,0.04730257745233228,0.17742671999903203,0.10428397748133204,0.20743091930228122
sinkhorn 2025-10-22 10:25:31.722454 800_epoch49,sinkhorn 2025-10-22 10:25:31.722454 800,49,Layer_4,0.022862684407242238,0.1221541718758202,0.03454144652614717,-0.05640321799203168
sinkhorn 2025-10-22 10:25:31.722454 800_epoch49,sinkhorn 2025-10-22 10:25:31.722454 800,49,Layer_5,0.022916418820165138,0.1229891979479901,0.03412792882746746,0.10128110999261285
sinkhorn 2025-10-22 10:25:31.722454 800_epoch99,sinkhorn 2025-10-22 10:25:31.722454 800,99,Layer_1,0.08506098194359908,0.2364932269888343,0.1539553078788003,-0.1540636211316906
