param,osc_ratio,osc_power,traj_std,mag_z,traj_z,sw_score,abs_corr_accuracy
weight 2024,0.01632023936222003,0.007861845212431698,0.018735323235520306,-0.5634785144648654,-0.4618124580988535,0.26022139785090986,0.021382012910301097
weight 2025,0.0012075346160760761,0.001764665621023,0.009773176600231996,-0.04181610045421662,-0.87526278691767,0.03660007662158688,0.0031993791416310546
weight 2026,0.005933350292406856,0.04474257075541149,0.047567059846572536,1.678265564179735,0.8682808183624254,1.457205797495458,0.01343791834209929
weight 2027,0.0002442458132474109,0.00044410398589949827,0.004872768260492006,0.12499722018564717,-1.1013331160321624,0.1376635780024171,0.00041186250346920386
weight 2028,0.0036571229393096887,0.0035261916423876974,0.013185250447836801,-0.16653841455631185,-0.7178537295059567,0.11955022199525757,5.6289953682886733e-05
weight 2029,0.0026694542270295847,0.003762147946233598,0.014320729853453697,-0.04503980871874515,-0.6654707064731945,0.029972673327480878,0.029195176383318398
weight 2030,0.015143643033411302,0.015215385389255993,0.02706597816831225,-0.015947587894880943,-0.07749470908133561,0.001235853684462828,0.004772622942843487
weight 2031,0.0012367082887199143,0.0037953037951551096,0.013014532227327553,0.5994279101239782,-0.7257294658978374,0.4350224970585316,0.007684786042633862
weight 2032,0.5534081865977664,0.004291277696370724,0.014183862041059401,-1.0545972040187477,-0.6717848234299869,0.7084623964914923,0.022435091511914612
weight 2033,0.016771673320581493,0.011509949016457906,0.024490038920851352,-0.2598908980905607,-0.19633040461509227,0.051024485177899495,0.00826680324879794
weight 2034,0.0012934317640423021,0.0028592167718336945,0.01125622912046098,0.19905966564762476,-0.8068451881997571,0.16061033339243852,0.010258223718495744
weight 2035,0.0011180106271976356,0.00509904584038,0.016078047879054088,0.8692193892031436,-0.5844004288833499,0.5079721838440405,0.00968046889048057
weight 2036,0.041673226861016634,0.004297256640164978,0.0140627668291169,-1.0870329608857043,-0.6773713036822597,0.7363249338607364,0.006244958645541703
weight 2037,0.03148545985532524,0.009847935173263302,0.02211103228127393,-0.9204777344640862,-0.3060810165413153,0.2817407606684144,0.00697662138636519
weight 2038,0.0068020386468555846,0.008172421619420901,0.021167126593093,0.00794476586291547,-0.3496261774311987,0.0027776981192370147,0.003253006095308958
weight 2039,0.011814452233840218,0.024856951806844194,0.03669260062779536,0.01818892379187137,0.36660985461953016,0.0066682387070236765,0.0185515734356688
weight 2040,0.0009425892042527963,0.003909573680151606,0.01456157794988579,0.8671559172263501,-0.6543596715038329,0.5674318611388394,0.004207169238025403
weight 2041,0.0511786288930365,0.008110592458409999,0.020377482635275525,-0.8955392806716207,-0.38605478848783137,0.3457272275822272,0.00965254902973487
weight 2042,0.24554394287462614,0.01323799235274239,0.026883462892392733,-0.8107278777748671,-0.0859146785277465,0.06965342499250986,0.0005398539222858394
weight 2043,0.00047924499156164955,0.004954346491009083,0.0160517828771757,1.9337169272641415,-0.5856121110957663,1.1324080520367723,0.014481090289499537
weight 2044,0.00034669374899959474,0.0018288856804973975,0.010076283568890308,0.992806984807443,-0.8612795660489543,0.8550843690453253,0.00784836809528633
weight 2045,0.009963839621527235,0.04581573165507389,0.048235547416231817,1.1874957863057127,0.8991201269270336,1.06770136210851,0.015613594332910612
weight 2046,0.004575035750117995,0.018278173694751893,0.031160342593894583,0.5602439325497832,0.1113904304895394,0.062405812825872826,0.00968386980944408
weight 2047,0.0022008510170887087,0.007633783019509802,0.01996063710206221,0.7247339583701281,-0.4052851057083837,0.2937238789284927,0.02765446474960624
weight 2048,0.00824275537099205,0.14071924695410332,0.08348327561660533,3.396613606610075,2.525202069971685,8.577135710305752,0.00776605446159828
weight 2049,0.0015140704832783678,0.009549911921590798,0.021371957279661017,1.3468525029821363,-0.34017673209627464,0.4581678830801511,0.012542899737513062
weight 2050,0.006549612262144648,0.008189207765106095,0.020752684344226745,-0.28354871160856726,-0.3687456240373801,0.10455734660709626,0.007144850117518346
weight 2051,0.20756833352891693,0.030785923162800898,0.03916162216685918,-0.5024618921176025,0.4805131200679241,0.24143953149666186,0.0016694805004243592
weight 2052,0.009285201517071925,0.010832433567822895,0.023636174308265583,-0.3985287568483515,-0.23572170440149448,0.09394187781730218,0.010275069158425364
weight 2053,0.009974358583272445,0.004526982802178449,0.015690437136246186,-0.5463167071109528,-0.6022820587639212,0.3290367510959108,0.008749452824381816
weight 2054,0.4372642875460076,0.0016400859116352496,0.00954539316190981,-1.1143876495220146,-0.8857711105711759,0.9870923859239172,0.02780348129077874
weight 2055,0.005316859107529792,0.004174157113492097,0.01490052945659622,-0.2981541773406468,-0.638722836088614,0.1904378817426855,0.011557941647931272
weight 2056,0.004200994345881784,0.0032849839350755005,0.01348152148647888,-0.3388996202314881,-0.7041858703053782,0.2386483240188726,0.004959080666620364
weight 2057,0.0006197664285763216,0.005860483295689187,0.017091367132828286,1.9396367605463607,-0.5376530149298956,1.0428515521766069,0.015079955526508777
weight 2058,0.01432174037751654,0.056681858099212695,0.05412332194598671,1.116276810519464,1.1707405784105192,1.3068705588138068,0.007208017190015676
weight 2059,0.04800240817131319,0.0019174180342273561,0.009557162951596474,-1.0178826899870892,-0.8852281353651109,0.9010583956776942,0.0024349550773597787
weight 2060,0.002722438029947674,0.002963897385218704,0.012348845951672863,-0.1000289997294354,-0.7564395424855044,0.07566589079061675,0.016098546328226087
weight 2061,0.000891385781690543,0.003214877901158596,0.012726271340895563,0.7028243486499844,-0.7390277930878474,0.5194067273112019,0.005323224503218634
weight 2062,0.030419719688967044,0.0583976599480012,0.05472511111753655,0.6347950378094278,1.1985028926173857,0.7608036890337619,0.0018511948573782227
weight 2063,0.0006869089961801017,0.0001929842784688082,0.0032709884142729014,-0.6893803149109772,-1.1752279574206104,0.8101790193788049,0.009788920060220781
weight 2064,0.0712454544286162,0.014942255254123862,0.02713657776641957,-0.978522045815126,-0.0742377408303349,0.07264326603399242,0.006753007057318167
weight 2065,0.002328080107303486,0.0005753405603352755,0.005561373368893408,-0.7344080780496316,-1.0695657259100395,0.7854977091133512,0.008312685006985367
weight 2066,0.8375222534939748,0.030016155256565886,0.039183723090058686,-0.7989971086729794,0.48153270101609297,0.3847432358433485,0.0027970663963452253
weight 2067,0.011267829157381833,0.0032357100313617857,0.012426188127424562,-0.756271238336475,-0.7528715191873591,0.5693750761240872,0.01856514175126985
weight 2068,0.0007978346719144432,0.002082627559694702,0.01061593493614578,0.40774779717178333,-0.836383852519701,0.34103367345495783,0.012748856903005673
